Zero,One,A,B
0.31945,0.41017,0.26233,0.32642
0.3193,0.39896,0.23955,0.32168
0.32299,0.3928,0.23549,0.32402
0.32146,0.38428,0.22968,0.32386
0.31456,0.37042,0.21465,0.31737
0.30759,0.36526,0.21372,0.31052
0.30034,0.35968,0.18526,0.30169
0.3064,0.35914,0.18404,0.30228
0.30606,0.35551,0.18943,0.30023
0.30564,0.35355,0.18495,0.29749
0.30282,0.35252,0.1683,0.29628
0.30291,0.36499,0.17259,0.30231
0.30796,0.37706,0.20029,0.30805
0.30799,0.37945,0.20367,0.30815
0.30832,0.38494,0.21682,0.30726
0.32071,0.41617,0.25451,0.31943
0.32262,0.42336,0.26378,0.32306
0.32701,0.42146,0.24769,0.32563
0.32919,0.42723,0.24949,0.32958
0.33273,0.42472,0.2441,0.33117
0.33648,0.42477,0.26152,0.32621
0.33503,0.41726,0.29177,0.31128
0.34827,0.42582,0.33527,0.31889
0.35658,0.4327,0.3444,0.32456
0.35386,0.43758,0.34702,0.32456
0.36806,0.44519,0.38342,0.33369
0.37611,0.44572,0.3746,0.34519
0.39185,0.44182,0.37089,0.35862
0.40324,0.44819,0.37594,0.37357
0.4034,0.44737,0.37042,0.37518
0.40386,0.43432,0.36007,0.37508
0.40294,0.43607,0.36134,0.37395
0.39801,0.43635,0.35259,0.36966
0.39049,0.42424,0.35383,0.3633
0.38964,0.4189,0.35101,0.35659
0.37916,0.41316,0.31871,0.35113
0.37643,0.42562,0.33832,0.34487
0.3666,0.45059,0.36908,0.33603
0.37858,0.47615,0.409,0.33664
0.37438,0.46169,0.40415,0.33191
0.38956,0.46616,0.4138,0.33608
0.38725,0.4458,0.40691,0.33329
0.37995,0.43926,0.40113,0.32655
0.38208,0.42006,0.39021,0.32342
0.37951,0.39801,0.37788,0.31783
0.38051,0.38439,0.37719,0.31755
0.37939,0.39833,0.38349,0.31671
0.37473,0.40241,0.37632,0.31662
0.37417,0.3892,0.34278,0.31834
0.37686,0.38936,0.34144,0.31979
0.36552,0.3693,0.32874,0.31518
0.36366,0.36393,0.32637,0.31402
0.35895,0.35907,0.32465,0.31145
0.35659,0.35952,0.32761,0.3108
0.35152,0.35084,0.32083,0.30799
0.37056,0.37203,0.32502,0.32666
0.37166,0.37248,0.31836,0.33158
0.37281,0.37189,0.31594,0.33035
0.36821,0.36536,0.31607,0.3263
0.36243,0.36852,0.32659,0.32411
0.35819,0.35455,0.29458,0.32373
0.35579,0.35773,0.30315,0.32034
0.3595,0.35455,0.30704,0.3259
0.35565,0.34733,0.31088,0.32345
0.35881,0.34972,0.31145,0.33145
0.3401,0.3376,0.3057,0.31511
0.33804,0.3411,0.31421,0.31412
0.34664,0.34751,0.31541,0.32198
0.34956,0.34648,0.31403,0.3234
0.34482,0.3305,0.28217,0.3184
0.3397,0.32726,0.2647,0.31427
0.3429,0.32328,0.26712,0.31746
0.35031,0.3309,0.27961,0.32352
0.34455,0.3275,0.26881,0.3198
0.34107,0.34805,0.27294,0.32232
0.34043,0.34901,0.27437,0.32227
0.34356,0.34776,0.27636,0.32294
0.33262,0.33671,0.27109,0.31161
0.33171,0.33394,0.2724,0.31103
0.32903,0.33576,0.27112,0.30995
0.33066,0.33948,0.27511,0.3121
0.32394,0.33383,0.26984,0.30666
0.31774,0.32554,0.25357,0.30211
